fips_ipeds,min(dif_white),max(dif_white),median(dif_white),mean(dif_white),sd(dif_white),min(dif_hispa),max(dif_hispa),median(dif_hispa),mean(dif_hispa),sd(dif_hispa),min(dif_black),max(dif_black),median(dif_black),mean(dif_black),sd(dif_black),min(dif_asian),max(dif_asian),median(dif_asian),mean(dif_asian),sd(dif_asian),min(dif_amind),max(dif_amind),median(dif_amind),mean(dif_amind),sd(dif_amind),min(dif_pacis),max(dif_pacis),median(dif_pacis),mean(dif_pacis),sd(dif_pacis),min(dif_twora),max(dif_twora),median(dif_twora),mean(dif_twora),sd(dif_twora)
23,Michigan,-53.79343,34.56095,1.4076265,0.342079767391304,16.3894272814493,-14.6931,11.97434,-1.890516,-2.7451363326087,4.29458171512016,-19.55252,41.96677,-6.000433,-4.05793928913044,10.9919410496678,-3.955244,10.28366,-1.614666,-0.819281397826087,3.07296773856497,-2.181943,4.871986,-0.0799306,-0.0453141282608696,0.875637418330937,-0.2084886,0.7984374,0.0251688,0.0454555608695652,0.180317818443445,-4.080651,3.949898,-0.80387555,-0.900564615217391,1.62222690573374
24,Minnesota,-41.42899,42.03238,0.239864,4.4907875,19.0025358387576,-18.50212,4.469528,-2.681564,-5.35827618055556,6.69376146542346,-12.485,23.01958,-3.025941,-3.05262595555556,7.53699245045322,-6.473316,7.872665,-0.2359417,-0.46916885,3.23243664311054,-5.030003,6.443389,-0.34713945,-0.293948836111111,1.52738164164613,-0.2084886,0.2665471,-0.0385521,-0.0215987222222222,0.111089304444063,-4.044559,9.216146,-0.6080386,-0.467262166666667,2.39892819129305
25,Mississippi,-50.82817,30.985,9.7907255,-5.3198174375,30.3228432513375,-19.38292,2.735847,-1.834769,-2.46528570625,4.83236575399097,-33.9771,56.33556,-7.02841,6.169453125,31.3753423748387,-1.003155,1.180165,-0.49503865,-0.25441515625,0.64143097808457,-0.6524445,0.3530576,-0.3001294,-0.194026425,0.324315668302082,-0.2084886,0.2674996,-0.000724750000000001,0.022496925,0.108265470574968,-3.628552,1.671121,-0.0797071,-0.2364062875,1.41474882009591
26,Missouri,-62.41416,39.50891,1.868612,-1.69788400377358,19.7322372754752,-17.40073,10.13476,-2.04206,-2.88543060754717,5.40963944465832,-18.10723,59.07245,-3.943253,-0.241041967924528,15.2767860962084,-4.275212,12.304,-1.099615,-0.549050720754717,2.63146761478083,-4.476098,2.430434,-0.1311979,-0.160547443396226,0.811012284789198,-0.2272764,1.155753,-0.0743504,-0.011148020754717,0.232117410596684,-3.753396,6.506023,-0.2603784,-0.305810649056604,1.91518496417607
27,Montana,-12.59547,30.26019,-1.03575,1.28362722222222,11.8995585812094,-15.06946,5.496131,-1.443598,-2.46090306666667,5.42997630279253,-13.3031,1.925497,0.5057873,-0.982300311111111,4.67102479786349,-3.561482,3.223677,-0.4240677,-0.449629388888889,1.75951583883881,-6.064775,1.125802,-4.199178,-3.01915092222222,2.66744413740249,-0.0700149,0.865993,0.277771,0.302596888888889,0.301832337597781,-3.578155,2.503407,-0.0977296,0.0208555555555555,1.79910949491645
28,Nebraska,-34.49944,31.30013,1.789188,-0.11970994,15.2305989399716,-13.76101,10.48168,-4.45626,-3.15475154,5.70954429585701,-11.37906,14.43307,-0.7907197,-0.517730076,5.45082330344351,-3.525557,4.222546,-1.377586,-1.066477504,1.70164786764504,-0.7942685,0.9110036,-0.4590546,-0.321644772,0.424049343471045,-0.1744163,1.689966,0.0057462,0.158819596,0.413822928312249,-2.568341,9.120221,0.4032912,0.57552628,2.22193137205369
29,Nevada,-11.7881,40.1822,6.900087,9.16185342857143,15.5435939904064,-25.23657,-1.138189,-4.920253,-10.12338,10.0276444466134,-6.918568,4.870935,-2.593886,-0.980004742857143,4.13586492130373,-7.081124,30.89648,3.875589,5.09646952857143,12.4502701570084,-1.777074,2.10178,0.0809829,0.257479185714286,1.20714129710642,-0.0154856,1.423373,0.4637254,0.573916914285714,0.576996416774508,-6.713003,5.019371,-2.454152,-1.49170322857143,4.19067784189957
30,New Hampshire,-14.22841,37.52307,-0.3446996,4.33928983333333,14.6208726503229,-16.09906,0.3347822,-4.782655,-5.77766412,4.63466205058463,-12.15016,17.20678,-2.441442,-1.77572572,7.05103267962732,-5.662291,9.95806,-2.507725,-1.9623201,3.73337358457747,-0.8442571,1.162898,0.1721633,0.210777793333333,0.511857956323191,-0.1573638,0.5956911,-0.0005224,0.05564198,0.182179689309504,-3.587017,1.646372,-0.8025355,-1.05268218666667,1.62492683264837
31,New Jersey,-37.18018,59.77003,4.276225,8.38952715,28.8910659204542,-21.47556,23.08311,-6.6530615,-4.0041435725,12.6257613237798,-17.85595,37.50869,-5.851992,-2.90042371,13.0037026201532,-7.650598,18.96516,-2.4221565,-1.0625552625,6.67292452877779,-0.8953819,0.4920672,-0.07682235,-0.1283714475,0.29686157703729,-0.2084886,0.6169156,0.0358251,0.1009957875,0.20813117726613,-3.753396,1.052535,-1.07970455,-1.4424259825,1.45906603374312
32,New Mexico,-15.34372,27.63798,5.38115,4.65758055714286,13.5980698447219,-36.01053,8.740583,-6.7743735,-8.17792091428571,12.2886339804,-13.05897,5.346031,1.143184,0.454579807142857,4.66875194538209,-2.839058,2.373923,-0.1740912,-0.0108526571428571,1.4496074147488,-6.761553,59.40277,-0.01629085,3.86732102857143,16.3782266631101,-0.2084886,3.020888,0.10673565,0.48881415,0.866462613217444,-4.242691,11.38784,-1.36743495,-0.411199242857143,3.99718398351428
33,New York,-39.57617,60.29377,6.1886575,11.6831650822368,26.0951639871259,-21.96083,61.58551,-6.973937,-6.44802418421053,11.9077617779272,-17.60776,37.96777,-7.6387,-5.69337389276316,9.7488548126518,-7.742659,22.65606,-1.7776085,-0.478207634868421,6.50574885931808,-0.8953819,1.270806,-0.26626,-0.189644663157895,0.429578474689601,-0.2084886,1.007985,-0.02625115,0.0341040026315789,0.19436033883069,-3.753396,6.766932,-1.1546,-1.11524407039474,1.91234025620262
